# doubletapd trace v1
# travel_mm=3.5000
us,k1_mm,k2_mm
4480801,0.9853,3.5000
4481801,0.8759,3.5000
4482808,0.7732,3.5000
4483801,0.7048,3.5000
4484801,0.6056,3.5000
4485801,0.5166,3.5000
4486801,0.4242,3.5000
4487801,0.3592,3.5000
4488801,0.2942,3.5000
4489802,0.2019,3.5000
4490802,0.1197,3.5000
4491801,0.0787,3.5000
4492797,0.0479,3.5000
4493801,0.0000,3.5000
4615806,0.0411,3.5000
4617806,0.0582,3.5000
4618804,0.0787,3.5000
4619815,0.1026,3.5000
4620804,0.1505,3.5000
4621811,0.1608,3.5000
4622810,0.2019,3.5000
4623805,0.2395,3.5000
4624804,0.2942,3.5000
4625804,0.3387,3.5000
4626804,0.3729,3.5000
4627800,0.4174,3.5000
4628807,0.4687,3.5000
4629804,0.5645,3.5000
4630800,0.6124,3.5000
4631810,0.6979,3.5000
4632809,0.7766,3.5000
4633804,0.8861,3.5000
4634804,0.9648,3.5000
4635800,1.0914,3.5000
4636806,1.2009,3.5000
4637804,1.2830,3.5000
4638805,1.4027,3.5000
4639804,1.5430,3.5000
4640805,1.6833,3.5000
4641810,1.7654,3.5000
4642810,1.9194,3.5000
4643805,2.0904,3.5000
4644810,2.2444,3.5000
4645811,2.4257,3.5000
4646810,2.5352,3.5000
4647810,2.7165,3.5000
4648810,2.9184,3.5000
4649805,3.1202,3.5000
4650810,3.3392,3.5000
4651812,3.4726,3.5000
4652805,3.5000,3.5000
4729811,3.5000,3.4966
4730811,3.5000,3.4829
4731812,3.5000,3.4521
4732806,3.5000,3.4247
4733811,3.5000,3.3768
4734812,3.5000,3.3221
4735805,3.5000,3.2810
4736806,3.5000,3.2092
4737812,3.5000,3.1305
4738812,3.5000,3.0518
4739801,3.5000,2.9697
4740811,3.5000,2.9047
4741806,3.5000,2.8123
4742805,3.5000,2.7097
4743806,3.5000,2.5968
4744812,3.5000,2.5318
4745806,3.5000,2.4120
4746806,3.5000,2.2889
4747806,3.5000,2.2067
4748805,3.5000,2.0665
4749806,3.5000,1.9228
4750806,3.5000,1.7825
4751806,3.5000,1.6833
4752806,3.5000,1.5293
4753806,3.5000,1.3685
4754807,3.5000,1.2522
4755806,3.5000,1.0777
4756806,3.5000,0.9169
4757811,3.5000,0.7595
4758812,3.5000,0.5714
4759808,3.5000,0.4653
4760812,3.5000,0.3011
4761807,3.5000,0.1266
4762810,3.5000,0.0000
4763807,3.5000,0.0000
4905819,3.5000,0.0547
4906823,3.5000,0.0718
4907821,3.5000,0.0890
4908816,3.5000,0.1334
4909811,3.5000,0.1745
4910808,3.5000,0.2190
4911810,3.5000,0.2292
4912808,3.5000,0.2840
4913812,3.5000,0.3079
4914814,3.5000,0.3490
4915810,3.5000,0.4003
4916816,3.5000,0.4413
4917810,3.5000,0.4756
4918817,3.5000,0.5645
4919813,3.5000,0.5987
4920814,3.5000,0.6535
4921810,3.5000,0.6911
4922808,3.5000,0.7493
4923810,3.5000,0.8040
4924807,3.5000,0.8553
4925810,3.5000,0.8895
